Week Number,Start Date (Sunday),End Date (Saturday),Training Phase,Training Focus,Weekly Mileage,Vertical Gain (ft),Weekly Training Time,Key Sessions,Notes
1,2026-01-25,2026-01-31,Base Building,Establish routine; aerobic base; introduce strength work,20,1800,5 hours,Easy runs; cross-training (backcountry/skate skiing); strength introduction,
2,2026-02-01,2026-02-07,Base Building,Build consistency; maintain aerobic foundation,22,2000,5.5 hours,First tempo effort; moderate long run; continued cross-training,
3,2026-02-08,2026-02-14,Base Building,Increase time-on-feet; add vertical,25,2400,6 hours,Hill workout introduction; extended long run,
4,2026-02-15,2026-02-21,Base Building,Progressive build; aerobic strength,28,2800,6.5 hours,Sustained tempo; longest run yet (14 miles),
5,2026-02-22,2026-02-28,Base Building (Recovery),Maintain fitness while accommodating family time,18,1400,4 hours,Shorter efforts; flexibility in timing; quality over volume,Family Visit - Recovery Week
6,2026-03-01,2026-03-07,Base Building,Return to building; increased vertical emphasis,30,3200,7 hours,Back-to-back weekend runs; midweek vertical workout,
7,2026-03-08,2026-03-14,Base Building (Modified),Active recovery; maintain aerobic base with climbing,15,1200,5 hours,Easy runs; climbing as cross-training,Climbing Trip Begins
8,2026-03-15,2026-03-21,Base Building (Modified),Active recovery continues; easy efforts only,12,800,4 hours,Recovery runs; climbing volume,Climbing Trip Continues
9,2026-03-22,2026-03-28,Build 1 - Volume,Rebuild after climbing trip; increase volume,32,3600,7.5 hours,Return to structure; progressive long run (16 miles),
10,2026-03-29,2026-04-04,Build 1 - Volume,Volume progression; vertical emphasis,36,4200,8.5 hours,Midweek hill repeats; 18-mile long run with vert,
11,2026-04-05,2026-04-11,Build 1 - Volume,First proper back-to-back; sustained efforts,40,4800,9.5 hours,Saturday 20-miler + Sunday 10-miler; quality midweek workout,
12,2026-04-12,2026-04-18,Build 1 - Volume,Peak volume week of this block,44,5400,10.5 hours,Back-to-back long runs (22 + 12 miles); tempo effort,
13,2026-04-19,2026-04-25,Build 1 - Volume (Recovery),Absorb training load; prepare for intensity phase,28,2800,6.5 hours,Easy runs only; active recovery,Recovery Week
14,2026-04-26,2026-05-02,Build 2 - Intensity & Specificity,Add intensity; maintain volume; race-specific terrain,42,5600,10 hours,Tempo climbs; long technical trail run (20 miles),
15,2026-05-03,2026-05-09,Build 2 - Intensity & Specificity,Sustained climbing efforts; endurance at altitude,45,6200,11 hours,Big vert weekend (Saturday 22 miles + Sunday 10 miles),
16,2026-05-10,2026-05-16,Build 2 - Intensity & Specificity,Pre-Presidential Traverse prep; moderate volume,38,4400,9 hours,Reduced volume for recovery before traverse,
17,2026-05-17,2026-05-23,Build 2 - Intensity & Specificity,Supported training run - Presidential Traverse (May 21),40,8500,10 hours,Presidential Traverse 20-23 miles; active recovery after,Presidential Traverse Week
18,2026-05-24,2026-05-30,Peak Training,Recovery from traverse; return to building,35,4200,8.5 hours,Easy week post-traverse; moderate long run,
19,2026-05-31,2026-06-06,Peak Training,Optional Scout Mountain 23-mile (June 6) OR peak training weekend,46,6800,11 hours,Scout Mountain 23-mile training run OR back-to-back peak efforts,Scout Mountain Option - recommend 23-mile distance
20,2026-06-07,2026-06-13,Peak Training (Modified),Maintain fitness on cruise; treadmill/track work,25,1200,5.5 hours,Pre-cruise workouts; treadmill maintenance runs,Cruise Week Begins June 12
21,2026-06-14,2026-06-20,Taper,Return from cruise; begin taper protocol,32,3200,7 hours,Moderate long run (14 miles); quality maintained,Cruise through June 19
22,2026-06-21,2026-06-27,Taper,Volume reduction; sharpness maintenance,26,2400,5.5 hours,12-mile progression run; short tempo efforts,
23,2026-06-28,2026-07-04,Taper,Final volume reduction; race prep,18,1600,4 hours,8-mile moderate effort; race pace segments,
24,2026-07-05,2026-07-11,Taper/Race,Final preparation; rest; race execution,70,13500,Race week,Easy shakeout runs; RACE DAY July 12,Race Week - Beaverhead 100K on July 12
