Description,Date,Day,Week,Activity,Activity Detail,Priority,Distance,Elevation,Duration,Target Pace/Effort,HR Zone,Training Goal,Workout Details
Rest day,2026-01-25,Sunday,1,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
Cross-training (skiing),2026-01-26,Monday,1,Cross-Training,Ski,Important,-,-,60 min,Easy,Z1-Z2,Aerobic base,Backcountry or skate skiing; keep effort conversational
5 mi tempo run,2026-01-27,Tuesday,1,Run,Run - Workout,Key Workout,5 miles,400 ft,50 min,Moderate,Z2-Z3,Tempo introduction,10 min warmup; 20 min steady tempo (comfortably hard); 10 min cooldown
Cross-training (skiing/bike),2026-01-28,Wednesday,1,Cross-Training,Ski/Bike,Important,-,-,60 min,Easy,Z1-Z2,Active recovery,Skate skiing or easy spin on trainer
3.8 mi easy run,2026-01-29,Thursday,1,Run,Run - Easy,Important,3.8 miles,200 ft,35 min,Easy,Z1-Z2,Aerobic base,Flat easy run; conversational pace
Yoga/Mobility,2026-01-29,Thursday,1,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery/Flexibility,Focus on hips; calves; IT bands
11 mi long run,2026-01-30,Friday,1,Run,Run - Long Run,Key Workout,11 miles,1200 ft,2 hrs,Easy,Z2,Time on feet,Trail run with moderate climbing; practice nutrition (200-250 cal/hr)
Strength training,2026-01-31,Saturday,1,Strength,Strength,Important,-,-,20 min,-,-,Injury prevention,Bodyweight circuit: squats; lunges; planks; glute bridges; single-leg deadlifts (3 sets each)
Rest day,2026-02-01,Sunday,2,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
Cross-training (skiing),2026-02-02,Monday,2,Cross-Training,Ski,Important,-,-,60 min,Easy,Z1-Z2,Aerobic base,Backcountry skiing or skate skiing
6 mi tempo run,2026-02-03,Tuesday,2,Run,Run - Workout,Key Workout,6 miles,500 ft,55 min,Moderate-Hard,Z2-Z3,Tempo development,10 min warmup; 25 min tempo effort; 10 min cooldown
Cross-training (skiing/bike),2026-02-04,Wednesday,2,Cross-Training,Ski/Bike,Important,-,-,60 min,Easy,Z1-Z2,Active recovery,Easy skiing or bike trainer
3.8 mi easy run,2026-02-05,Thursday,2,Run,Run - Easy,Important,3.8 miles,200 ft,35 min,Easy,Z1-Z2,Aerobic base,Flat; easy; conversational
Yoga/Mobility,2026-02-05,Thursday,2,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Hip mobility focus
12 mi long run,2026-02-06,Friday,2,Run,Run - Long Run,Key Workout,12 miles,1300 ft,2 hrs 10 min,Easy,Z2,Endurance building,Trail run with climbing; continue nutrition practice
Strength training,2026-02-07,Saturday,2,Strength,Strength,Important,-,-,20 min,-,-,Injury prevention,Bodyweight circuit: pistol squat progressions; step-ups; side planks; calf raises
Rest day,2026-02-08,Sunday,3,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
Cross-training (skiing),2026-02-09,Monday,3,Cross-Training,Ski,Important,-,-,60 min,Easy,Z1-Z2,Aerobic base,Backcountry or skate skiing
6 mi hill workout,2026-02-10,Tuesday,3,Run,Run - Workout,Key Workout,6 miles,800 ft,60 min,Varied,Z2-Z4,Hill strength,Warmup; then 6x3 min uphill (stairstepper or M trail); jog down recovery; cooldown
Cross-training (skiing/bike),2026-02-11,Wednesday,3,Cross-Training,Ski/Bike,Important,-,-,60 min,Easy,Z1-Z2,Active recovery,Ski or bike
3.8 mi easy run,2026-02-12,Thursday,3,Run,Run - Easy,Important,3.8 miles,200 ft,35 min,Easy,Z1-Z2,Aerobic base,Easy run
Yoga/Mobility,2026-02-12,Thursday,3,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Full body stretch
15 mi long run,2026-02-13,Friday,3,Run,Run - Long Run,Key Workout,15 miles,1400 ft,2 hrs 40 min,Easy,Z2,Extended time on feet,Long trail run; practice race nutrition and hydration strategy
Strength training,2026-02-14,Saturday,3,Strength,Strength,Important,-,-,20 min,-,-,Injury prevention,Core emphasis: planks; dead bugs; bird dogs; pallof press variations
Rest day,2026-02-15,Sunday,4,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
Cross-training (ski/bike),2026-02-16,Monday,4,Cross-Training,Ski/Bike,Important,-,-,60 min,Moderate,Z2,Aerobic strength,Longer ski or harder bike effort
7 mi tempo run,2026-02-17,Tuesday,4,Run,Run - Workout,Key Workout,7 miles,600 ft,65 min,Tempo,Z3,Sustained tempo,10 min warmup; 30 min steady tempo; 10 min cooldown
4 mi recovery run,2026-02-18,Wednesday,4,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Recovery run,Flat; conversational; shakeout
3.8 mi easy run,2026-02-19,Thursday,4,Run,Run - Easy,Important,3.8 miles,200 ft,35 min,Easy,Z1-Z2,Aerobic base,Easy effort
Yoga/Mobility,2026-02-19,Thursday,4,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Legs and hips focus
14 mi long run,2026-02-20,Friday,4,Run,Run - Long Run,Key Workout,14 miles,1600 ft,2 hrs 30 min,Easy,Z2,Peak base building,Trail run with sustained climbs; full nutrition practice
Strength training,2026-02-21,Saturday,4,Strength,Strength,Important,-,-,20 min,-,-,Injury prevention,Lower body: Bulgarian splits; single-leg RDLs; lateral lunges
Rest day,2026-02-22,Sunday,5,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
4 mi easy run,2026-02-23,Monday,5,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Maintenance,Short easy run; flexible timing
5 mi light tempo,2026-02-24,Tuesday,5,Run,Run - Workout,Important,5 miles,400 ft,50 min,Moderate,Z2-Z3,Light tempo,10 min warmup; 20 min steady; 10 min cooldown - keep it light
Rest day,2026-02-25,Wednesday,5,Rest,Rest,Optional,-,-,-,-,-,Recovery,Family time priority
3.8 mi easy run,2026-02-26,Thursday,5,Run,Run - Easy,Important,3.8 miles,200 ft,35 min,Easy,Z1-Z2,Easy run,Quick morning run
Yoga/Mobility,2026-02-26,Thursday,5,Yoga/Mobility,Yoga/Mobility,Optional,-,-,20 min,-,-,Recovery,Light stretching
6 mi easy long run,2026-02-27,Friday,5,Run,Run - Easy,Important,6 miles,600 ft,65 min,Easy,Z2,Easy long run,Shorter; easier effort - enjoy family time
Strength training,2026-02-28,Saturday,5,Strength,Strength,Optional,-,-,15 min,-,-,Maintenance,Quick bodyweight circuit
Rest day,2026-03-01,Sunday,6,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
Cross-training (ski/bike),2026-03-02,Monday,6,Cross-Training,Ski/Bike,Important,-,-,60 min,Moderate,Z2,Aerobic fitness,Ski or bike with some intensity
7 mi hill workout,2026-03-03,Tuesday,6,Run,Run - Workout,Key Workout,7 miles,1000 ft,70 min,Hill work,Z2-Z4,Vertical strength,Warmup; 8x3 min uphill efforts (M trail or stairstepper); recovery; cooldown
5 mi easy run,2026-03-04,Wednesday,6,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Active recovery,Flat easy run
3.8 mi easy run,2026-03-05,Thursday,6,Run,Run - Easy,Important,3.8 miles,200 ft,35 min,Easy,Z1-Z2,Aerobic base,Easy effort
Yoga/Mobility,2026-03-05,Thursday,6,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Full body mobility
16 mi long run,2026-03-06,Friday,6,Run,Run - Long Run,Key Workout,16 miles,1800 ft,2 hrs 50 min,Easy,Z2,Extended endurance,Trail run with good vert; dial in nutrition
5 mi back-to-back run,2026-03-07,Saturday,6,Run,Run - Easy,Important,5 miles,400 ft,50 min,Easy,Z1-Z2,Back-to-back practice,Easy recovery run; introduce back-to-back concept
Rest day,2026-03-08,Sunday,7,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
4 mi easy run,2026-03-09,Monday,7,Run,Run - Easy,Important,4 miles,300 ft,38 min,Easy,Z1-Z2,Maintain aerobic base,Easy morning run before climbing
4 mi easy run,2026-03-10,Tuesday,7,Run,Run - Easy,Important,4 miles,300 ft,38 min,Easy,Z1-Z2,Light maintenance,Easy run; climbing later
Climbing,2026-03-11,Wednesday,7,Cross-Training,Climb,Important,-,-,3 hrs,-,-,Climbing,Travel day; light climbing
Climbing (full day),2026-03-12,Thursday,7,Cross-Training,Climb,Key Workout,-,-,4 hrs,-,-,Climbing,Full climbing day at Red River Gorge
4 mi easy run,2026-03-13,Friday,7,Run,Run - Easy,Important,4 miles,300 ft,38 min,Easy,Z1-Z2,Recovery,Easy morning run; climbing after
3 mi easy run,2026-03-14,Saturday,7,Run,Run - Easy,Optional,3 miles,300 ft,30 min,Easy,Z1-Z2,Active recovery,Light jog; full climbing day after
Rest day,2026-03-15,Sunday,8,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest
Climbing (full day),2026-03-16,Monday,8,Cross-Training,Climb,Key Workout,-,-,4 hrs,-,-,Climbing,Full climbing day
3 mi easy run,2026-03-17,Tuesday,8,Run,Run - Easy,Important,3 miles,200 ft,30 min,Easy,Z1-Z2,Maintenance,Short easy run
Climbing (full day),2026-03-18,Wednesday,8,Cross-Training,Climb,Key Workout,-,-,4 hrs,-,-,Climbing,Full climbing day
3 mi easy run,2026-03-19,Thursday,8,Run,Run - Easy,Important,3 miles,200 ft,30 min,Easy,Z1-Z2,Light run,Easy effort; climbing after
Climbing/Travel,2026-03-20,Friday,8,Cross-Training,Climb,Important,-,-,3 hrs,-,-,Climbing,Last climbing session; travel home
6 mi easy run,2026-03-21,Saturday,8,Run,Run - Easy,Important,6 miles,400 ft,60 min,Easy,Z1-Z2,Return to running,Longer easy run to restart training
Rest day,2026-03-22,Sunday,9,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
Cross-training (bike),2026-03-23,Monday,9,Cross-Training,Bike,Important,-,-,60 min,Moderate,Z2,Rebuild aerobic base,Mountain bike or gravel bike as weather allows
7 mi hill workout,2026-03-24,Tuesday,9,Run,Run - Workout,Key Workout,7 miles,1000 ft,70 min,Hills,Z2-Z4,Vertical strength return,Warmup; 8x3 min hill repeats (outdoor if possible - M trail); cooldown
5 mi easy run,2026-03-25,Wednesday,9,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Recovery,Flat easy run
4 mi easy run,2026-03-26,Thursday,9,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Aerobic base,Easy run
Yoga/Mobility,2026-03-26,Thursday,9,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Deep stretch session
16 mi long run,2026-03-27,Friday,9,Run,Run - Long Run,Key Workout,16 miles,2000 ft,2 hrs 50 min,Easy,Z2,Return to long runs,Trail run; moderate climbing; back to nutrition practice
Strength training (gym),2026-03-28,Saturday,9,Strength,Strength - Gym,Important,-,-,45 min,-,-,Gym strength,Full gym session: squats; deadlifts; step-ups; core work (3x8 each)
Rest day,2026-03-29,Sunday,10,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
6 mi easy run,2026-03-30,Monday,10,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Build weekly volume,Easy aerobic run
8 mi hill workout,2026-03-31,Tuesday,10,Run,Run - Workout,Key Workout,8 miles,1200 ft,80 min,Hills,Z2-Z4,Vertical emphasis,Warmup; 10x3 min hill repeats (Drinking Horse Mountain if dry); cooldown
5 mi easy run,2026-04-01,Wednesday,10,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Recovery,Easy flat run
4 mi easy run,2026-04-02,Thursday,10,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Aerobic base,Easy effort
Yoga/Mobility,2026-04-02,Thursday,10,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Hip and leg focus
18 mi long run,2026-04-03,Friday,10,Run,Run - Long Run,Key Workout,18 miles,2400 ft,3 hrs 15 min,Easy,Z2,Extended endurance,Trail run with sustained climbs; test nutrition plan
Strength training (gym),2026-04-04,Saturday,10,Strength,Strength - Gym,Important,-,-,45 min,-,-,Gym strength,Focus: single-leg strength; glute activation; core stability
Rest day,2026-04-05,Sunday,11,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
6 mi easy run,2026-04-06,Monday,11,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Aerobic maintenance,Easy run
8 mi tempo run,2026-04-07,Tuesday,11,Run,Run - Workout,Key Workout,8 miles,800 ft,75 min,Tempo,Z3,Sustained effort,10 min warmup; 40 min steady tempo; 10 min cooldown
6 mi easy run,2026-04-08,Wednesday,11,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Recovery,Easy conversational pace
4 mi easy run,2026-04-09,Thursday,11,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Pre-long run,Easy shakeout
Yoga/Mobility,2026-04-09,Thursday,11,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Preparation,Light stretching before big weekend
20 mi long run,2026-04-10,Friday,11,Run,Run - Long Run,Key Workout,20 miles,2800 ft,3 hrs 40 min,Easy,Z2,Major endurance day,Trail run; significant vert; practice full race nutrition (200-250 cal/hr)
10 mi back-to-back run,2026-04-11,Saturday,11,Run,Run - Long Run,Key Workout,10 miles,1200 ft,2 hrs,Easy,Z2,Back-to-back training,Run on tired legs; easy effort; continue nutrition
Rest day,2026-04-12,Sunday,12,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
7 mi easy run,2026-04-13,Monday,12,Run,Run - Easy,Important,7 miles,400 ft,68 min,Easy,Z1-Z2,Volume building,Easy conversational run
9 mi tempo hills,2026-04-14,Tuesday,12,Run,Run - Workout,Key Workout,9 miles,1000 ft,85 min,Tempo hills,Z3,Combined effort,10 min warmup; 3x15 min tempo with climbing; 5 min recovery; cooldown
6 mi easy run,2026-04-15,Wednesday,12,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Recovery,Easy effort
4 mi easy run,2026-04-16,Thursday,12,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Pre-long run prep,Easy shakeout
Yoga/Mobility,2026-04-16,Thursday,12,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Preparation,Stretch and prepare for big weekend
22 mi long run,2026-04-17,Friday,12,Run,Run - Long Run,Key Workout,22 miles,3200 ft,4 hrs,Easy,Z2,Peak volume effort,Long trail run with sustained climbing; full race nutrition practice
12 mi back-to-back run,2026-04-18,Saturday,12,Run,Run - Long Run,Key Workout,12 miles,1400 ft,2 hrs 15 min,Easy,Z2,Back-to-back peak,Run on tired legs; practice mental toughness; nutrition continues
Rest day,2026-04-19,Sunday,13,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
5 mi easy run,2026-04-20,Monday,13,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Recovery,Easy conversational run
6 mi easy run,2026-04-21,Tuesday,13,Run,Run - Easy,Important,6 miles,500 ft,58 min,Easy,Z2,Light effort,Easy run with slight hills; no intensity
5 mi easy run,2026-04-22,Wednesday,13,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Recovery,Easy flat run
4 mi easy run,2026-04-23,Thursday,13,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Easy run,Light effort
Yoga/Mobility,2026-04-23,Thursday,13,Yoga/Mobility,Yoga/Mobility,Important,-,-,45 min,-,-,Deep recovery,Extended stretching and mobility
10 mi easy long run,2026-04-24,Friday,13,Run,Run - Easy,Important,10 miles,1000 ft,1 hr 50 min,Easy,Z2,Easy long run,Relaxed trail run; no pressure
Strength training,2026-04-25,Saturday,13,Strength,Strength,Optional,-,-,30 min,-,-,Maintenance,Light strength maintenance; focus on mobility
Rest day,2026-04-26,Sunday,14,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
7 mi easy run,2026-04-27,Monday,14,Run,Run - Easy,Important,7 miles,500 ft,68 min,Easy,Z1-Z2,Aerobic maintenance,Easy conversational run
9 mi tempo climbs,2026-04-28,Tuesday,14,Run,Run - Workout,Key Workout,9 miles,1400 ft,90 min,Tempo climbs,Z3-Z4,Race-specific intensity,Warmup; 4x8 min tempo climbing (race effort); jog down; cooldown
6 mi easy run,2026-04-29,Wednesday,14,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Recovery,Easy flat or rolling run
5 mi easy run,2026-04-30,Thursday,14,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Pre-long run,Easy shakeout run
Yoga/Mobility,2026-04-30,Thursday,14,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Preparation,Stretching before weekend
20 mi technical long run,2026-05-01,Friday,14,Run,Run - Long Run,Key Workout,20 miles,3000 ft,3 hrs 40 min,Moderate,Z2-Z3,Technical terrain practice,Technical trail run at altitude if accessible; race-pace segments
Strength training,2026-05-02,Saturday,14,Strength,Strength,Optional,-,-,20 min,-,-,Maintenance,Light strength; core focus
Rest day,2026-05-03,Sunday,15,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
7 mi easy run,2026-05-04,Monday,15,Run,Run - Easy,Important,7 miles,500 ft,68 min,Easy,Z1-Z2,Aerobic base,Easy run
10 mi hill repeats,2026-05-05,Tuesday,15,Run,Run - Workout,Key Workout,10 miles,1500 ft,95 min,Hill repeats,Z3-Z4,Power climbing,Warmup; 8-10x5 min hard uphill efforts; jog down recovery; cooldown
7 mi easy run,2026-05-06,Wednesday,15,Run,Run - Easy,Important,7 miles,500 ft,68 min,Easy,Z1-Z2,Recovery,Easy conversational run
5 mi easy run,2026-05-07,Thursday,15,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Pre-big weekend,Easy shakeout
Yoga/Mobility,2026-05-07,Thursday,15,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Preparation,Light stretching
22 mi big vert long run,2026-05-08,Friday,15,Run,Run - Long Run,Key Workout,22 miles,3600 ft,4 hrs 10 min,Easy-Moderate,Z2,Big vert day,Long trail run with sustained climbing; altitude training if possible
10 mi back-to-back run,2026-05-09,Saturday,15,Run,Run - Long Run,Key Workout,10 miles,1200 ft,1 hr 55 min,Easy,Z2,Back-to-back,Run on tired legs; focus on form and nutrition
Rest day,2026-05-10,Sunday,16,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
7 mi easy run,2026-05-11,Monday,16,Run,Run - Easy,Important,7 miles,500 ft,68 min,Easy,Z1-Z2,Aerobic maintenance,Easy run
8 mi tempo run,2026-05-12,Tuesday,16,Run,Run - Workout,Key Workout,8 miles,1000 ft,75 min,Tempo,Z3,Quality effort,10 min warmup; 40 min steady tempo with hills; 10 min cooldown
6 mi easy run,2026-05-13,Wednesday,16,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Recovery,Easy flat run
5 mi easy run,2026-05-14,Thursday,16,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Easy run,Light shakeout
Yoga/Mobility,2026-05-14,Thursday,16,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Stretching
14 mi long run,2026-05-15,Friday,16,Run,Run - Long Run,Key Workout,14 miles,2000 ft,2 hrs 35 min,Easy,Z2,Moderate long run,Trail run; keep it relaxed before big effort next week
Strength training,2026-05-16,Saturday,16,Strength,Strength,Optional,-,-,20 min,-,-,Maintenance,Light strength work
Rest day,2026-05-17,Sunday,17,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
